Posicion,Equipo,PJ,G,P,PTS,id_equipo,temporada
1,Guaguas,15,14,1,41,5-2023-2024,2023-2024
2,Unicaja Almeria,15,12,3,36,10-2023-2024,2023-2024
3,Rio Duero Soria,15,12,3,36,8-2023-2024,2023-2024
4,CV Melilla,15,10,5,29,6-2023-2024,2023-2024
5,CV Teruel,15,10,5,26,9-2023-2024,2023-2024
6,Cisneros Alter,15,7,8,22,2-2023-2024,2023-2024
7,Conqueridor Valencia,14,7,7,21,11-2023-2024,2023-2024
8,Manacor,15,5,10,16,4-2023-2024,2023-2024
9,Arenal Emeve,15,5,10,13,1-2023-2024,2023-2024
10,CV San Roque,14,4,10,12,7-2023-2024,2023-2024
11,Voley Palma,15,3,12,14,3-2023-2024,2023-2024
12,CV Villena Petrer,15,0,15,1,12-2023-2024,2023-2024
