Nombre,Partidos_jugados,Sets_jugados,Acciones_exitosas,Errores_colocador,_error_colocador,Puntos_negativos,Puntos_positivos,Acciones_positivas,Total_acumulado,Efic_Ranking,id_jugador,id_equipo,temporada
Cavanna Maximiliano,2,4,21,0,3,3,4,3,34,0.4412,65-2023-2024,5-2023-2024,2023-2024
Bertassoni Paulo Renan,14,47,268,9,24,73,28,32,434,0.3756,133-2023-2024,10-2023-2024,2023-2024
Roberts Ignacio,11,42,286,2,36,64,50,42,480,0.375,23-2023-2024,2-2023-2024,2023-2024
Riganti Juan Martin,15,49,289,0,36,73,83,27,508,0.372,80-2023-2024,6-2023-2024,2023-2024
Lorente Lopez Lucas,12,43,251,5,30,74,55,20,435,0.3609,97-2023-2024,8-2023-2024,2023-2024
Lorente Camacho Ruben,13,45,220,7,32,65,42,35,401,0.2993,116-2023-2024,9-2023-2024,2023-2024
de Amo Miguel Angel,12,40,199,0,18,75,39,25,356,0.2781,59-2023-2024,5-2023-2024,2023-2024
Martin Perez Cesar,12,42,241,4,44,82,43,35,449,0.2762,51-2023-2024,4-2023-2024,2023-2024
Arjones Ferreiros Jaime,13,51,289,7,49,69,151,57,622,0.2621,39-2023-2024,3-2023-2024,2023-2024
Pont Perello Guillem,8,18,54,0,6,24,14,4,102,0.2549,122-2023-2024,9-2023-2024,2023-2024
Monfort Minaya Vicente,14,54,242,4,36,88,54,37,461,0.2538,147-2023-2024,11-2023-2024,2023-2024
Loeches Buitrago Guillermo,12,49,253,2,32,98,42,38,465,0.2516,88-2023-2024,6-2023-2024,2023-2024
Edward Batalla Dexter,13,48,268,2,58,108,65,58,559,0.1825,5-2023-2024,1-2023-2024,2023-2024
Garcia Borras Hector,15,51,288,5,68,150,94,48,653,0.1378,156-2023-2024,12-2023-2024,2023-2024
Castaneda Yanguas Daniel,4,11,16,0,3,8,3,4,34,0.1176,87-2023-2024,6-2023-2024,2023-2024
