Equipo,Jugados,Sets_Jugados,Total_Puntos,Break_Puntos,Puntos_Ganados,Puntos_Perdidos,Total_Saque,Puntos_Saque,Error_Saque,Puntos_por_set_Saque,Efic_Saque,Total_Recepcion,Error_Recepcion,Negativo_Recepcion,Positivo_Recepcion,Excelente_Recepcion,Efic_Recepcion,Total_Ataque,Error_Ataque,Ataque_Bloqueado,Positivo_Ataque,Excelente_Ataque,Efic_Ataque,Toque_Red_Bloqueo,Puntos_de_Bloqueo,Puntos_Set_Bloqueo,id_equipo,temporada
Rio Duero Soria,15,56,959,366,593,478,1314,61,208,1.1,-11.0,992,76,233,290,29.0,22.0,1530,89,108,751,49.0,36.0,219,147,2.6,8-2023-2024,2023-2024
Voley Palma,15,60,934,327,607,322,1283,81,211,1.4,-10.0,1175,74,242,364,31.0,25.0,1726,176,151,737,43.0,24.0,121,116,1.9,3-2023-2024,2023-2024
Cisneros Alter,15,56,909,296,613,363,1259,59,228,1.1,-13.0,1070,68,277,360,34.0,27.0,1496,133,117,737,49.0,33.0,39,113,2.0,2-2023-2024,2023-2024
Guaguas,15,53,883,382,501,460,1249,93,182,1.8,-7.0,851,68,235,291,34.0,26.0,1320,89,84,654,50.0,36.0,123,136,2.6,5-2023-2024,2023-2024
Conqueridor Valencia,14,55,867,321,546,344,1200,81,190,1.5,-9.0,1018,70,284,219,22.0,15.0,1528,144,119,684,45.0,28.0,208,102,1.9,11-2023-2024,2023-2024
CV Teruel,15,55,862,299,563,380,1235,39,185,0.7,-12.0,1010,55,258,282,28.0,22.0,1430,128,114,673,47.0,30.0,190,150,2.7,9-2023-2024,2023-2024
Manacor,15,53,848,298,550,379,1154,78,155,1.5,-7.0,1026,78,292,358,35.0,27.0,1410,118,118,647,46.0,29.0,104,123,2.3,4-2023-2024,2023-2024
CV San Roque,14,56,837,278,559,299,1190,64,199,1.1,-11.0,1077,86,309,362,34.0,26.0,1433,134,119,668,47.0,29.0,128,105,1.9,7-2023-2024,2023-2024
Arenal Emeve,14,54,812,272,540,291,1078,39,184,0.7,-13.0,1035,60,273,350,34.0,28.0,1467,145,132,650,44.0,25.0,117,123,2.3,1-2023-2024,2023-2024
CV Melilla,15,49,806,312,494,357,1141,72,187,1.5,-10.0,911,73,230,369,41.0,32.0,1292,86,103,625,48.0,34.0,165,109,2.2,6-2023-2024,2023-2024
Unicaja Almeria,14,50,803,312,491,390,1109,78,190,1.6,-10.0,800,54,195,251,31.0,25.0,1208,82,87,628,52.0,38.0,192,97,1.9,10-2023-2024,2023-2024
CV Villena Petrer,15,51,702,208,494,204,1080,32,172,0.6,-13.0,1032,59,220,393,38.0,32.0,1466,117,150,589,40.0,22.0,95,81,1.6,12-2023-2024,2023-2024
