Nombre,Partidos_jugados,Sets_jugados,Recepciones,Recepciones_exitosas,Recepciones_fallidas,Recepciones_otro_jugador,Puntos_perdidos_recep,Puntos_ganados_recep,Total_puntos_recep,Recep_Ranking,id_jugador,id_equipo,temporada
Bouza Ferreiro Victor,1,3,9,0,4,0,6,3,22,0.4091,2-2023-2024,1-2023-2024,2023-2024
Masia Porres Arnau,15,49,150,27,8,16,46,72,319,0.3354,71-2023-2024,6-2023-2024,2023-2024
San Martin Rodriguez Alejandro,11,37,62,9,11,2,27,43,154,0.3312,102-2023-2024,8-2023-2024,2023-2024
Almansa Jorge,1,3,8,0,2,1,2,9,22,0.3182,61-2023-2024,5-2023-2024,2023-2024
Barrasa Portomene Samuel,8,17,32,5,0,2,20,21,80,0.3125,4-2023-2024,1-2023-2024,2023-2024
Piqueres Flor Nestor,15,51,155,18,21,27,59,110,390,0.2821,160-2023-2024,12-2023-2024,2023-2024
Piris Guiscafre Antoni,15,52,128,21,8,22,52,85,316,0.269,45-2023-2024,4-2023-2024,2023-2024
Paradela Corton Miguel,13,40,75,11,7,10,46,64,213,0.2535,1-2023-2024,1-2023-2024,2023-2024
Gamiz Padilla Aharon,15,53,98,14,20,15,39,87,273,0.2527,125-2023-2024,9-2023-2024,2023-2024
Osado Carrasco Jose,15,57,115,20,17,17,30,120,319,0.2445,34-2023-2024,3-2023-2024,2023-2024
Fernandez Martinez Francisco Jose,14,47,82,20,18,3,52,71,246,0.2398,132-2023-2024,10-2023-2024,2023-2024
Dovale Fidalgo Mario,15,54,123,21,13,22,85,112,376,0.2128,16-2023-2024,2-2023-2024,2023-2024
Gallardo Hernandez Rodrigo,14,55,113,24,31,17,72,84,341,0.2111,90-2023-2024,7-2023-2024,2023-2024
Larranaga Ledo Unai,14,49,82,20,4,18,44,75,243,0.1811,60-2023-2024,5-2023-2024,2023-2024
Mengod Bautista Javier,11,38,55,14,34,10,54,73,240,0.1292,152-2023-2024,11-2023-2024,2023-2024
Aulisi Santiago Karim,5,20,27,12,17,4,16,32,108,0.1019,105-2023-2024,8-2023-2024,2023-2024
Iborra Ballester Hector,8,26,24,16,21,6,53,42,162,0.0123,150-2023-2024,11-2023-2024,2023-2024
Perez Figueroa Ezequiel,2,3,2,3,0,0,2,3,10,-0.1,55-2023-2024,5-2023-2024,2023-2024
Gibanel Galmes Sebastia,1,1,1,2,0,0,3,2,8,-0.125,52-2023-2024,4-2023-2024,2023-2024
