Nombre,Partidos_jugados,Sets_jugados,Bloqueos,Bloqueo_exitoso,Bloqueo_fallido,Total_bloqueos,Saque,Errores_Saque,Porcentaje_error,Total_saques,Ataque_exitoso,Errores_ataque,Porc_error,Total_ataques,Ataque_Ranking,id_jugador,id_equipo,temporada
Calvo Leandro Omar,15,53,18,13,1,39,14,20,5,154,177,34,30,411,2.0943,47-2023-2024,4-2023-2024,2023-2024
Zonca Paolo,14,50,20,9,0,44,38,41,13,229,125,21,16,277,1.92,64-2023-2024,5-2023-2024,2023-2024
Conde Barrios Lucas,13,49,11,6,0,19,9,39,12,155,165,22,24,340,1.9184,14-2023-2024,2-2023-2024,2023-2024
Schulz Max,14,51,24,12,0,46,10,52,9,160,197,39,43,439,1.6667,6-2023-2024,1-2023-2024,2023-2024
Rodriguez Perez Victor,14,47,27,32,1,89,15,37,8,186,142,20,21,292,1.5532,130-2023-2024,10-2023-2024,2023-2024
Bruno Lopez Nicolas,13,43,3,15,0,34,14,30,14,178,118,12,16,226,1.4419,54-2023-2024,5-2023-2024,2023-2024
Liu Coltyn Go Yuen,15,52,6,14,0,24,21,51,15,205,157,19,32,341,1.3077,44-2023-2024,4-2023-2024,2023-2024
Villalba Zamorano Jose,15,56,22,26,1,66,17,48,18,247,134,9,20,284,1.2321,101-2023-2024,8-2023-2024,2023-2024
Giustiniano Mariano Ariel,15,47,10,15,0,38,12,37,7,172,109,15,13,228,1.0851,79-2023-2024,6-2023-2024,2023-2024
Nieves Suarez Carlos,8,28,1,10,0,16,8,9,1,70,57,8,10,114,1.0357,140-2023-2024,11-2023-2024,2023-2024
Olalla Gomez Adrian,14,51,13,24,2,56,6,39,9,151,151,26,31,333,0.9412,99-2023-2024,8-2023-2024,2023-2024
Vanole Nogueira Silva Thiago,11,30,8,8,0,23,10,21,5,85,63,10,14,131,0.9333,68-2023-2024,6-2023-2024,2023-2024
Monfort Minaya Javier,14,51,9,31,0,72,17,44,7,204,161,43,24,397,0.8824,143-2023-2024,11-2023-2024,2023-2024
Ferrandez Moles Emilio,15,48,14,21,1,52,3,22,6,151,120,23,29,274,0.8542,119-2023-2024,9-2023-2024,2023-2024
Hernandez Robeff Tomas Agustin,15,48,3,10,0,28,4,21,5,183,121,35,24,323,0.7917,166-2023-2024,12-2023-2024,2023-2024
Zelayeta Mauro Rafael,12,38,7,12,0,29,11,35,10,130,91,19,13,188,0.7895,121-2023-2024,9-2023-2024,2023-2024
Funes Facundo Jesus,14,52,10,18,0,54,6,17,3,146,88,10,24,191,0.6731,142-2023-2024,11-2023-2024,2023-2024
Alves Ramos Vitor,10,15,2,2,0,4,2,7,3,37,25,1,9,58,0.6667,42-2023-2024,4-2023-2024,2023-2024
Del Carmen Barbara Gabriel,15,53,11,8,0,19,12,54,12,222,124,27,23,273,0.6604,26-2023-2024,2-2023-2024,2023-2024
Vildosola Mariano,14,49,12,24,2,62,5,19,9,177,91,10,23,218,0.6122,126-2023-2024,9-2023-2024,2023-2024
Gimenez Hernandez Jose Maria,15,60,7,17,0,34,5,33,7,192,136,27,36,344,0.5833,36-2023-2024,3-2023-2024,2023-2024
Jimenez Gallego Carlos,10,30,8,9,0,20,1,5,2,63,43,9,13,141,0.5333,167-2023-2024,12-2023-2024,2023-2024
Cairus Renzo,13,52,11,9,0,28,9,27,9,170,105,40,24,304,0.4808,37-2023-2024,3-2023-2024,2023-2024
Ruiz Garrido Francisco Jose,14,47,10,27,0,53,17,33,7,189,79,17,17,184,0.2553,136-2023-2024,10-2023-2024,2023-2024
Bouza Ferreiro Victor,12,44,6,10,0,16,1,27,6,154,88,21,29,250,0.1818,2-2023-2024,1-2023-2024,2023-2024
Melgarejo Brian Efren,12,33,9,23,0,40,9,29,6,124,75,17,21,206,0.0909,69-2023-2024,6-2023-2024,2023-2024
Fernandez Rodriguez Francisco,8,22,2,2,0,5,2,19,3,67,47,10,20,133,0.0,168-2023-2024,12-2023-2024,2023-2024
